0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,z
0,30,7,20,17,18,12,14,24,25,8,10,5,1,11,27,28,21,6,16,9,23,2,4,22,31,3,15,13,19,26,0,32726
0,7,18,1,4,11,3,6,8,15,16,13,28,25,5,2,20,9,23,27,29,22,14,10,12,17,21,30,24,19,26,0,30497
0,6,30,18,31,1,4,19,25,11,9,17,12,3,26,15,21,28,8,10,23,22,20,24,5,13,29,16,2,14,7,0,33523
0,27,14,2,12,22,20,3,15,30,17,25,18,13,31,19,10,8,7,9,21,16,24,23,29,6,4,26,1,11,28,0,30768
0,8,24,19,14,26,17,11,28,12,22,1,27,3,4,31,9,6,16,2,15,21,13,5,20,18,7,30,23,29,10,0,31212
0,31,4,8,27,26,13,1,28,22,5,17,16,21,6,18,25,30,12,15,11,20,9,29,7,19,14,23,2,24,3,0,31884
0,21,3,9,6,24,31,8,16,17,25,4,27,30,26,5,1,10,12,13,28,19,22,11,15,29,7,18,20,2,14,0,32131
0,1,13,26,30,22,12,18,15,29,6,9,20,11,21,7,19,23,31,10,14,5,2,3,16,28,24,4,27,25,17,0,35694
0,5,2,21,16,9,13,19,30,28,1,4,24,17,3,27,23,25,15,7,20,6,14,22,26,11,10,8,18,31,29,0,35570
0,7,12,17,6,18,9,1,11,14,13,23,3,20,21,19,29,4,31,30,15,5,2,22,24,25,28,8,26,27,10,0,26947
0,30,15,29,23,16,22,12,8,10,3,25,4,19,9,28,2,11,14,7,21,6,20,1,27,26,13,18,24,17,31,0,33805
0,6,26,11,4,18,15,1,14,10,23,25,5,24,28,9,7,21,20,19,12,29,16,8,31,22,27,30,17,3,2,0,32929
0,16,22,7,2,31,11,12,17,26,24,4,18,23,19,21,29,28,6,14,10,30,5,8,3,27,1,25,20,9,15,0,29642
0,13,30,12,26,17,15,5,28,6,8,10,24,29,23,25,7,20,19,1,31,22,21,18,11,14,4,27,2,16,3,0,30627
0,5,28,31,29,25,24,21,27,8,15,7,3,6,9,19,22,20,16,30,2,26,17,13,18,4,14,10,1,11,23,0,30714
0,8,19,7,18,6,3,27,1,11,31,26,12,21,28,13,24,4,17,20,30,5,29,22,14,2,15,10,16,9,25,0,30121
0,13,26,11,28,16,4,22,10,19,29,20,25,3,5,21,23,15,1,24,2,8,31,27,18,14,30,6,9,12,17,0,35011
0,18,16,1,2,17,19,13,7,24,14,22,28,9,15,31,11,6,27,26,21,4,10,8,20,25,29,30,3,23,12,0,33585
0,10,3,31,26,8,16,20,15,23,17,25,4,13,29,9,22,6,11,27,7,18,5,2,24,1,28,19,14,12,30,0,33909
0,24,15,2,31,1,17,12,7,26,22,25,30,11,21,4,14,6,28,20,10,23,13,3,8,9,16,27,19,29,5,0,36729
0,3,4,2,6,11,15,27,12,5,7,24,29,14,13,30,8,21,20,9,1,22,16,23,10,19,25,31,17,26,28,0,29075
0,7,15,8,27,12,9,19,6,18,29,31,24,5,26,28,10,23,3,20,16,17,11,4,14,2,21,25,30,22,13,0,35294
0,15,9,22,6,2,19,26,11,21,1,4,27,17,7,31,30,24,29,3,20,18,14,28,8,12,16,13,25,10,5,0,34318
0,3,25,26,23,5,7,2,17,15,14,6,20,13,27,1,18,24,31,4,10,12,11,28,19,8,22,30,9,29,16,0,30967
0,1,22,16,24,2,4,18,11,9,6,21,25,30,10,29,28,20,23,15,5,12,17,3,19,13,14,27,8,7,31,0,34660
0,6,24,18,3,12,31,16,13,14,19,5,22,26,28,17,30,4,2,20,1,9,23,27,21,11,29,10,8,7,25,0,28710
0,22,7,17,14,31,26,6,4,12,3,9,24,13,23,21,29,15,27,2,28,16,19,20,18,11,1,8,25,30,10,0,34088
0,11,15,2,24,13,25,7,17,19,10,26,18,27,31,28,12,8,6,1,4,14,30,23,16,29,22,5,21,3,20,0,31630
0,15,26,27,23,17,16,31,22,6,28,14,29,4,21,10,13,20,12,8,1,19,25,24,11,9,5,7,2,30,3,0,35147
0,5,23,9,6,2,8,31,20,11,24,4,27,19,12,7,15,29,22,18,28,10,14,30,1,26,21,13,17,25,3,0,32931
0,28,15,27,30,6,3,26,29,14,5,31,8,21,23,17,1,18,2,11,20,25,12,24,10,9,7,22,16,4,19,0,28692
0,15,31,29,4,12,9,8,18,3,16,27,22,1,23,20,21,6,2,24,17,19,28,25,5,14,11,26,13,10,7,0,30418
0,24,19,27,31,10,25,28,16,12,7,18,15,23,9,1,14,11,17,5,13,4,29,22,26,21,20,30,2,3,8,0,35371
0,30,23,10,17,5,2,25,3,22,14,6,31,20,15,16,9,21,8,18,29,7,24,4,1,13,27,12,26,28,19,0,36000
0,9,10,19,22,11,2,1,3,14,8,31,27,23,15,18,28,26,21,16,24,12,20,6,29,13,5,17,25,4,30,0,38938
