	Date	AAPL	AXP	BA	GOOGL	IBM	MSFT	PFE
	2001	1.44175095785	33.8942827586	51.7873471264		107.333201149	31.2051172414	41.6513344828
	2002	1.36918505747	32.2916793103	39.7475900383		84.4935965517	27.3277509579	34.8991275862
	2003	1.32202452107	36.3774157088	33.2845210728		85.0744061303	26.0904827586	31.8935210728
	2004	2.53559503817	45.2859461832	47.686259542	76.0112680412	90.839310687	27.1461412214	32.9853576336
	2005	6.67423384615	48.1635688462	62.2689230769	139.141874615	83.8295769231	25.8785384615	25.5462692308
	2006	10.12643	54.4226961538	79.9302307692	206.063471538	83.1449230769	26.3133115385	25.6652096154
	2007	18.2743429119	59.2228348659	94.446102682	269.419577011	105.699118774	30.4624616858	25.2614176245
	2008	20.3047385496	37.9793816794	66.5175664122	233.05465916	109.942786641	26.6758473282	19.3245083969
	2009	20.9248126437	26.924559387	45.1246360153	219.765361686	109.122183908	22.9754482759	15.7485823755
	2010	37.0740436782	41.6424425287	65.98598659	268.210936398	131.84433908	27.0657662835	16.771816092
	2011	51.9801419231	47.4911153846	69.7691153846	284.758061923	170.877769231	26.0503980769	19.53095
	2012	82.1508597701	55.9744061303	73.2252681992	321.772086207	196.413716475	29.7820636015	23.2020670498
	2013	67.6003091954	72.8103831418	102.962643678	442.208897318	194.134942529	32.4704739464	28.9555528736

