state,action,reward
[ 0.03 -0.01  0.04  0.02],0.0,7.961677792262976
[ 0.03 -0.21  0.04  0.33],1.0,7.7351975469588625
[ 0.02 -0.01  0.05  0.05],0.0,7.4835528299542915
[ 0.02 -0.21  0.05  0.35],1.0,7.203947588838101
[ 0.02 -0.01  0.05  0.07],1.0,6.893275098709001
[ 0.02  0.18  0.06 -0.2 ],1.0,6.548083443010001
[ 0.02  0.38  0.05 -0.48],0.0,6.164537158900001
[ 0.03  0.18  0.04 -0.17],1.0,5.738374621000001
[ 0.03  0.38  0.04 -0.45],1.0,5.264860690000001
[ 0.04  0.57  0.03 -0.73],1.0,4.7387341
[ 0.05  0.76  0.01 -1.01],1.0,4.154149
[ 0.07  0.96 -0.01 -1.3 ],1.0,3.50461
[ 0.09  1.15 -0.03 -1.59],1.0,2.7829
[ 0.11  1.35 -0.06 -1.9 ],1.0,1.981
[ 0.14  1.55 -0.1  -2.21],1.0,1.09
[ 0.17  1.74 -0.15 -2.53],1.0,0.09999999999999998
[ 0.2   1.94 -0.2  -2.86],1.0,-1.0
[-0.03  0.01 -0.01 -0.03],1.0,8.165510013036679
[-0.03  0.21 -0.01 -0.33],1.0,7.961677792262976
[-0.03  0.4  -0.02 -0.63],0.0,7.7351975469588625
[-0.02  0.21 -0.03 -0.34],0.0,7.4835528299542915
[-0.01  0.01 -0.04 -0.05],1.0,7.203947588838101
[-0.01  0.21 -0.04 -0.36],1.0,6.893275098709001
[-0.01  0.4  -0.05 -0.66],1.0,6.548083443010001
[-0.    0.6  -0.06 -0.97],0.0,6.164537158900001
[ 0.01  0.4  -0.08 -0.7 ],1.0,5.738374621000001
[ 0.02  0.6  -0.09 -1.01],0.0,5.264860690000001
[ 0.03  0.41 -0.11 -0.75],0.0,4.7387341
[ 0.04  0.21 -0.13 -0.49],1.0,4.154149
[ 0.04  0.41 -0.14 -0.82],0.0,3.50461
[ 0.05  0.22 -0.15 -0.58],0.0,2.7829
[ 0.06  0.02 -0.16 -0.34],1.0,1.981
[ 0.06  0.22 -0.17 -0.68],1.0,1.09
[ 0.06  0.42 -0.19 -1.02],0.0,0.09999999999999998
[ 0.07  0.23 -0.21 -0.79],1.0,-1.0
[-0.01  0.02 -0.02  0.03],0.0,7.7351975469588625
[-0.01 -0.18 -0.02  0.32],0.0,7.4835528299542915
[-0.01 -0.37 -0.01  0.61],1.0,7.203947588838101
[-0.02 -0.18 -0.    0.31],0.0,6.893275098709001
[-0.03 -0.37  0.    0.6 ],1.0,6.548083443010001
[-0.03 -0.18  0.02  0.31],0.0,6.164537158900001
[-0.04 -0.37  0.02  0.61],0.0,5.738374621000001
[-0.04 -0.57  0.03  0.91],0.0,5.264860690000001
[-0.06 -0.76  0.05  1.21],0.0,4.7387341
[-0.07 -0.96  0.08  1.52],1.0,4.154149
[-0.09 -0.77  0.11  1.25],1.0,3.50461
[-0.11 -0.57  0.13  0.99],1.0,2.7829
[-0.12 -0.38  0.15  0.74],1.0,1.981
[-0.12 -0.19  0.17  0.5 ],0.0,1.09
[-0.13 -0.38  0.18  0.84],0.0,0.09999999999999998
[-0.14 -0.58  0.19  1.18],0.0,-1.0
[-0.03 -0.01 -0.02  0.04],1.0,9.025076806838227
[-0.03  0.19 -0.02 -0.26],1.0,8.91675200759803
[-0.03  0.38 -0.03 -0.56],0.0,8.796391119553366
[-0.02  0.19 -0.04 -0.27],0.0,8.66265679950374
[-0.01 -0.   -0.04  0.01],0.0,8.51406311055971
[-0.01 -0.2  -0.04  0.29],1.0,8.348959011733012
[-0.02 -0.   -0.04 -0.02],0.0,8.165510013036679
[-0.02 -0.2  -0.04  0.26],1.0,7.961677792262976
[-0.02 -0.   -0.03 -0.04],0.0,7.7351975469588625
[-0.02 -0.2  -0.03  0.24],1.0,7.4835528299542915
[-0.03 -0.   -0.03 -0.06],0.0,7.203947588838101
[-0.03 -0.2  -0.03  0.22],0.0,6.893275098709001
[-0.03 -0.39 -0.02  0.5 ],0.0,6.548083443010001
[-0.04 -0.59 -0.01  0.79],0.0,6.164537158900001
[-0.05 -0.78  0.    1.08],1.0,5.738374621000001
[-0.07 -0.59  0.02  0.79],1.0,5.264860690000001
[-0.08 -0.39  0.04  0.5 ],0.0,4.7387341
[-0.08 -0.59  0.05  0.81],1.0,4.154149
[-0.1  -0.39  0.07  0.53],0.0,3.50461
[-0.1  -0.59  0.08  0.84],0.0,2.7829
[-0.12 -0.78  0.09  1.16],0.0,1.981
[-0.13 -0.98  0.12  1.48],0.0,1.09
[-0.15 -1.18  0.15  1.8 ],0.0,0.09999999999999998
