Date,AAPL,AXP,BA,GOOGL,IBM,MSFT,PFE
2001-01-01,1.0626,48.107,66.0,,85.0,21.688,46.0
2001-01-02,1.0625,45.5342,62.0,,84.8125,21.688,46.125
2001-01-03,1.1696,48.982,62.563,,94.688,23.969,43.563
2001-01-04,1.2188,47.4496,61.0,,93.1875,24.219,41.8125
2001-01-05,1.1697,45.151,58.75,,94.0,24.563,42.375
2001-01-08,1.183,42.8525,59.0,,93.938,24.469,41.875
2001-01-09,1.2277,41.1011,58.938,,92.5625,25.9062,43.25
2001-01-10,1.1831,40.8822,60.375,,93.4375,26.438,42.313
2001-01-11,1.2857,41.9221,59.125,,93.6875,27.5,41.0
2001-01-12,1.2277,41.9768,60.625,,93.8125,26.75,41.438
2001-01-15,1.2277,41.9768,60.625,,93.8125,26.75,41.438
2001-01-16,1.2233,42.3052,61.0,,92.75,26.282,41.688
2001-01-17,1.2009,43.2903,58.75,,96.6875,26.469,40.75
2001-01-18,1.3348,43.454,57.375,,108.313,27.75,41.125
2001-01-19,1.3929,42.579,55.6875,,111.25,30.5,41.375
2001-01-22,1.375,39.405,56.0,,108.563,30.0625,42.125
2001-01-23,1.4643,40.718,57.5,,109.063,30.282,42.875
2001-01-24,1.4688,40.4991,57.4375,,110.438,31.4375,42.9375
2001-01-25,1.4241,40.6086,59.25,,110.75,30.907,44.438
2001-01-26,1.3974,40.8275,58.063,,114.1875,32.0,44.3125
2001-01-29,1.5491,41.69,56.46,,115.24,32.25,43.3
2001-01-30,1.5536,41.953,56.15,,116.75,31.688,44.28
2001-01-31,1.5447,41.243,58.5,,112.0,30.532,45.15
2001-02-01,1.5089,41.585,56.52,,114.05,31.188,45.21
2001-02-02,1.4733,42.128,56.85,,110.27,30.407,44.9
2001-02-05,1.442,42.391,57.93,,112.22,30.969,45.75
2001-02-06,1.509,41.147,56.73,,114.19,31.282,45.85
2001-02-07,1.4821,40.604,57.45,,116.91,32.344,44.5
2001-02-08,1.4821,41.243,57.51,,114.03,31.125,44.75
2001-02-09,1.3661,41.182,57.34,,112.32,29.563,45.04
2001-02-12,1.4063,42.2067,59.07,,114.9,29.375,46.12
2001-02-13,1.3661,40.9632,60.72,,113.75,29.094,45.03
2001-02-14,1.3929,40.841,60.59,,115.1,29.188,45.2
2001-02-15,1.4331,41.042,60.15,,116.78,29.407,44.25
2001-02-16,1.3571,41.3485,59.99,,115.0,28.594,45.26
2001-02-19,1.3571,41.3485,59.99,,115.0,28.594,45.26
2001-02-20,1.3081,40.2627,61.85,,111.5,27.938,44.85
2001-02-21,1.3483,38.503,60.2,,107.5,28.125,44.81
2001-02-22,1.3036,38.967,61.28,,108.88,27.594,45.09
2001-02-23,1.3439,39.317,61.61,,104.0,28.219,44.82
2001-02-26,1.3929,39.58,62.76,,105.3,29.782,45.25
2001-02-27,1.384,39.7898,63.7,,102.59,29.688,45.21
2001-02-28,1.3036,38.4238,62.2,,99.9,29.5,45.0
2001-03-01,1.3393,37.653,59.65,,106.05,29.672,44.1
2001-03-02,1.375,38.31,60.1,,102.31,28.344,43.61
2001-03-05,1.4554,37.9072,61.91,,104.91,28.719,43.83
2001-03-06,1.5357,37.6445,62.13,,106.0,29.719,43.1
2001-03-07,1.5179,38.704,64.1,,107.55,30.344,41.95
2001-03-08,1.4867,38.9054,64.75,,106.47,29.625,42.0
2001-03-09,1.4464,37.4168,65.5,,99.29,28.344,42.45
2001-03-12,1.3304,35.377,61.0,,95.49,25.8672,40.35
2001-03-13,1.3974,36.5149,60.57,,98.39,27.094,39.9
2001-03-14,1.4598,33.695,58.02,,94.96,27.0,39.0
2001-03-15,1.4063,34.851,56.1,,95.56,26.844,38.59
2001-03-16,1.4019,33.433,53.75,,90.1,27.2812,37.37
2001-03-19,1.4689,33.9405,56.02,,92.6,27.157,37.6
2001-03-20,1.4063,32.636,55.0,,88.3,26.344,37.22
